É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/12/18 17:54:59

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
2015/10,18.4,8,2,12.3,8,1,22.7,8,2,14.8,8,2,28.1,8,1,10.3,8,1,57.0,0,8,1,181.3,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,10.9,8,ìÏìÏêº,8,2
2015/11,13.9,8,2,7.9,8,1,17.8,8,2,10.7,8,2,23.7,8,1,3.9,8,1,139.5,0,8,1,120.1,0,8,2,0,1,8,1,0,1,8,1,2.2,8,2,8.2,8,ñkñkêº,8,2
2015/12,9.3,8,2,8.2,8,1,13.4,8,2,5.8,8,2,24.1,8,1,1.9,8,1,82.5,0,8,1,162.0,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,11.0,8,ìÏìÏêº,8,2
2016/1,6.1,8,2,9.9,8,1,10.6,8,2,1.8,8,2,16.2,8,1,-2.6,8,1,85.0,0,8,1,201.5,0,8,2,6,0,8,1,6,0,8,1,2.4,8,2,9.7,8,ñkêº,8,2
2016/2,7.2,8,2,11.4,8,1,12.2,8,2,3.1,8,2,23.0,8,1,0.1,8,1,57.0,0,8,1,160.1,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,10.8,8,ìÏ,8,2
2016/3,10.1,8,2,13.5,8,1,14.9,8,2,6.1,8,2,21.4,8,1,1.1,8,1,103.0,0,8,1,161.9,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,8.9,8,ñkêº,8,2
2016/4,15.4,8,2,14.9,8,1,20.3,8,2,11.3,8,2,26.8,8,1,5.1,8,1,120.0,0,8,1,149.2,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,12.6,8,ìÏ,8,2
2016/5,20.2,8,2,19.3,8,1,25.2,8,2,15.7,8,2,30.9,8,1,11.9,8,1,137.5,0,8,1,204.9,0,8,2,0,1,8,1,0,1,8,1,3.4,8,2,11.8,8,ìÏ,8,2
2016/6,22.4,8,2,15.0,8,1,26.3,8,2,19.1,8,2,33.0,8,1,14.2,8,1,174.5,0,8,1,139.1,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,9.1,8,ñkêº,8,2
2016/7,25.4,8,2,15.3,8,1,29.7,8,2,22.1,8,2,36.7,8,1,19.0,8,1,81.5,0,8,1,143.7,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,8.3,8,ìÏìå,8,2
2016/8,27.1,8,2,15.8,8,1,31.6,8,2,23.9,8,2,37.7,8,1,21.3,8,1,414.0,0,8,1,156.5,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,11.3,8,êº,8,2
2016/9,24.4,8,2,10.0,8,1,27.7,8,2,21.9,8,2,33.0,8,1,17.6,8,1,287.0,0,8,1,79.4,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,8.4,8,ìÏìÏìå,8,2
2016/10,18.7,8,2,9.6,8,1,22.6,8,2,15.3,8,2,32.0,8,1,9.6,8,1,96.5,0,8,1,119.6,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,10.3,8,ìÏìÏêº,8,2
2016/11,11.4,8,2,8.2,8,1,15.5,8,2,8.1,8,2,20.8,8,1,0.3,8,1,139.0,0,8,1,132.1,0,8,2,0,1,8,1,0,0,8,1,2.5,8,2,9.4,8,ñkêº,8,2
2016/12,8.9,8,2,9.1,8,1,13.8,8,2,4.5,8,2,20.2,8,1,0.0,8,1,84.0,0,8,1,193.7,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,10.1,8,ìÏ,8,2
2017/1,5.8,8,2,10.8,8,1,10.8,8,2,1.7,8,2,19.5,8,1,-2.3,8,1,26.0,0,8,1,226.7,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,11.1,8,ñkêº,8,2
2017/2,6.9,8,2,13.2,8,1,12.1,8,2,2.6,8,2,20.6,8,1,-1.6,8,1,15.5,0,8,1,193.7,0,8,2,0,1,8,1,0,1,8,1,3.5,8,2,11.0,8,ìÏêº,8,2
2017/3,8.5,8,2,14.3,8,1,13.4,8,2,4.2,8,2,18.7,8,1,0.0,8,1,85.5,0,8,1,190.3,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,9.5,8,ñkêº,8,2
2017/4,14.7,8,2,17.7,8,1,19.9,8,2,10.2,8,2,26.1,8,1,4.5,8,1,122.0,0,8,1,198.8,0,8,2,0,1,8,1,0,1,8,1,3.4,8,2,10.1,8,ìÏ,8,2
2017/5,20.0,8,2,19.4,8,1,25.1,8,2,16.0,8,2,30.9,8,1,11.3,8,1,49.0,0,8,1,216.9,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,9.1,8,ìÏìÏìå,8,2
2017/6,22.0,8,2,17.4,8,1,26.4,8,2,18.5,8,2,30.6,8,1,14.8,8,1,106.5,0,8,1,158.8,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.6,8,ìÏ,8,2
2017/7,27.3,8,2,18.0,5,1,31.8,8,2,24.0,8,2,35.0,8,1,20.9,8,1,81.0,0,8,1,189.1,0,5,2,0,1,8,1,0,1,8,1,3.1,5,2,9.4,4,ìÏ,8,2
2017/8,26.4,8,2,12.0,8,1,30.4,8,2,23.4,8,2,37.1,8,1,20.0,8,1,141.5,0,8,1,83.7,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,8.8,8,ìÏìÏìå,8,2
2017/9,22.8,8,2,12.4,8,1,26.8,8,2,19.5,8,2,33.3,8,1,16.0,8,1,209.5,0,8,1,124.4,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,11.7,8,ìÏ,8,2
2017/10,16.8,8,2,8.2,8,1,20.1,8,2,14.2,8,2,29.0,8,1,9.1,8,1,531.5,0,8,1,94.7,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,13.7,8,ìÏìÏìå,8,2
2017/11,11.9,8,2,9.6,8,1,16.6,8,2,7.9,8,2,21.9,8,1,3.2,8,1,47.0,0,8,1,162.7,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,9.1,8,ñkêº,8,2
2017/12,6.6,8,2,9.6,8,1,11.1,8,2,2.7,8,2,16.0,8,1,-0.2,8,1,15.0,0,8,1,211.1,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,9.6,8,ñkêº,8,2
2018/1,4.7,8,2,10.3,8,1,9.4,8,2,0.6,8,2,16.0,8,1,-4.0,8,1,48.5,0,8,1,206.1,0,8,2,23,0,8,1,23,0,8,1,2.6,8,2,9.9,8,êºñkêº,8,2
2018/2,5.4,8,2,12.2,8,1,10.1,8,2,1.3,8,2,15.1,8,1,-1.8,8,1,20.0,0,8,1,167.3,0,8,2,1,0,8,1,1,0,8,1,2.6,8,2,8.5,8,ñkñkêº,8,2
2018/3,11.5,8,2,14.4,8,1,16.9,8,2,6.5,8,2,24.2,8,1,1.7,8,1,220.0,0,8,1,198.0,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,10.0,8,ìÏ,8,2
2018/4,17.0,8,2,17.5,8,1,22.1,8,2,12.4,8,2,28.3,8,1,5.5,8,1,109.0,0,8,1,201.8,0,8,2,0,1,8,1,0,1,8,1,3.5,8,2,12.9,8,ìÏìÏêº,8,2
2018/5,19.8,8,2,18.7,8,1,24.6,8,2,15.4,8,2,29.0,8,1,9.0,8,1,165.5,0,8,1,199.3,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,10.3,8,ìÏ,8,2
2018/6,22.4,8,2,16.9,8,1,26.6,8,2,19.1,8,2,32.9,8,1,14.2,8,1,155.5,0,8,1,163.1,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,11.2,8,ìÏìÏêº,8,2
2018/7,28.3,8,2,19.8,8,1,32.7,8,2,25.0,8,2,39.0,8,1,19.1,8,1,107.0,0,8,1,227.2,0,8,2,0,1,8,1,0,1,8,1,3.5,8,2,11.1,8,ìÏìÏêº,8,2
2018/8,28.1,8,2,18.4,8,1,32.5,8,2,24.6,8,2,37.3,8,1,18.3,8,1,86.5,0,8,1,217.4,0,8,2,0,1,8,1,0,1,8,1,3.5,8,2,11.0,8,ìÏìÏìå,8,2
2018/9,22.9,8,2,10.8,8,1,26.6,8,2,19.9,8,2,33.0,8,1,14.1,8,1,365.0,0,8,1,96.7,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,12.9,8,ìÏ,8,2
2018/10,19.1,8,2,10.9,8,1,23.0,8,2,15.8,8,2,32.3,8,1,11.6,8,1,61.5,0,8,1,139.0,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,18.2,8,ìÏ,8,2
2018/11,14.0,8,2,9.5,8,1,17.7,8,2,10.6,8,2,22.8,8,1,5.8,8,1,63.0,0,8,1,151.0,0,8,2,0,1,8,1,0,1,8,1,2.1,8,2,6.4,8,ñkêº,8,2
2018/12,8.3,8,2,7.8,8,1,12.1,8,2,4.7,8,2,23.4,8,1,-0.7,8,1,44.0,0,8,1,145.3,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,9.0,8,ñkêº,8,2
2019/1,5.6,8,2,10.7,8,1,10.3,8,2,1.4,8,2,14.0,8,1,-1.2,8,1,16.0,0,8,1,222.2,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,10.5,8,ñkêº,8,2
2019/2,7.2,8,2,10.4,8,1,11.6,8,2,3.3,8,2,19.5,8,1,-1.2,8,1,42.0,0,8,1,138.0,0,8,2,0,1,8,1,0,0,8,1,2.7,8,2,8.6,8,ñkñkêº,8,2
2019/3,10.6,8,2,13.9,8,1,15.4,8,2,6.2,8,2,23.9,8,1,1.1,8,1,117.5,0,8,1,177.3,0,8,2,0,1,8,1,0,1,8,1,3.0,8,2,11.7,8,ìÏìÏêº,8,2
2019/4,13.6,8,2,17.8,8,1,19.0,8,2,9.2,8,2,25.6,8,1,2.3,8,1,90.5,0,8,1,194.4,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,10.3,8,ñkêº,8,2
2019/5,20.0,8,2,20.5,8,1,25.3,8,2,15.3,8,2,32.6,8,1,7.9,8,1,120.5,0,8,1,229.4,0,8,2,0,1,8,1,0,1,8,1,3.3,8,2,9.0,8,ìÏìÏêº,8,2
2019/6,21.8,8,2,15.2,8,1,25.8,8,2,18.5,8,2,32.3,8,1,13.9,8,1,225.0,0,8,1,129.5,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,10.3,8,êºñkêº,8,2
2019/7,24.1,8,2,11.9,8,1,27.5,8,2,21.6,8,2,34.6,8,1,17.7,8,1,193.0,0,8,1,81.1,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,8.4,8,ìÏìÏìå,8,2
2019/8,28.4,8,2,17.3,8,1,32.8,8,2,25.2,8,2,35.6,8,1,20.7,8,1,110.0,0,8,1,187.8,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,10.0,8,ìÏìÏìå,8,2
2019/9,25.1,8,2,13.6,8,1,29.4,8,2,21.7,8,2,36.2,8,1,17.1,8,1,197.0,0,8,1,137.6,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,15.4,8,ñkêº,8,2
2019/10,19.4,8,2,9.6,8,1,23.3,8,2,16.4,8,2,30.3,8,1,12.1,8,1,529.5,0,8,1,112.8,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,17.8,8,ìÏìÏìå,8,2
2019/11,13.1,8,2,9.9,8,1,17.7,8,2,9.3,8,2,23.9,8,1,1.6,8,1,156.5,0,8,1,170.3,0,8,2,0,1,8,1,0,1,8,1,2.6,8,2,9.2,8,ìÏìÏêº,8,2
2019/12,8.5,8,2,7.1,5,1,12.6,8,2,5.2,8,2,18.9,8,1,2.2,8,1,76.5,0,8,1,128.6,0,5,2,0,1,8,1,0,1,8,1,2.4,8,2,11.2,8,ñkêº,8,2
2020/1,7.1,8,2,8.0,8,1,11.1,8,2,3.7,8,2,18.6,8,1,0.6,8,1,135.0,0,8,1,139.8,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,8.8,8,ñkêº,8,2
2020/2,8.3,8,2,12.9,8,1,13.3,8,2,4.0,8,2,18.2,8,1,-2.1,8,1,15.0,0,8,1,196.1,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,10.8,8,ìÏ,8,2
2020/3,10.7,8,2,13.9,8,1,16.0,8,2,6.2,8,2,24.6,8,1,0.7,8,1,131.0,0,8,1,181.9,0,8,2,1,0,8,1,1,0,8,1,3.1,8,2,13.1,8,ñkêº,8,2
2020/4,12.8,8,2,18.4,8,1,18.2,8,2,7.9,8,2,24.2,8,1,5.3,8,1,296.5,0,8,1,213.4,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,11.0,8,êºñkêº,8,2
2020/5,19.5,8,2,17.4,8,1,24.0,8,2,15.6,8,2,28.7,8,1,10.7,8,1,118.0,0,8,1,175.5,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,9.8,8,ìÏìÏêº,8,2
2020/6,23.2,8,2,15.9,8,1,27.5,8,2,19.8,8,2,32.6,8,1,17.1,8,1,212.5,0,8,1,136.3,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,12.0,8,ìÏ,8,2
2020/7,24.3,8,2,10.3,8,1,27.7,8,2,21.8,8,2,32.5,8,1,17.4,8,1,270.5,0,8,1,47.7,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,10.2,8,ìÏ,8,2
2020/8,29.1,8,2,20.6,8,1,34.1,8,2,25.3,8,2,37.3,8,1,21.8,8,1,61.5,0,8,1,254.7,0,8,2,0,1,8,1,0,1,8,1,2.8,8,2,8.4,8,ìÏ,8,2
2020/9,24.2,8,2,11.2,8,1,28.1,8,2,21.5,8,2,35.1,8,1,14.7,8,1,117.5,0,8,1,105.7,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,10.4,8,ìÏ,8,2
2020/10,17.5,8,2,9.4,8,1,21.4,8,2,14.4,8,2,26.7,8,1,9.2,8,1,205.0,0,8,1,113.9,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,6.1,8,ñkêº,8,2
2020/11,14.0,8,2,9.5,8,1,18.6,8,2,10.1,8,2,24.9,8,1,5.2,8,1,14.5,0,8,1,156.6,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,9.0,8,ìÏ,8,2
2020/12,7.7,8,2,8.4,8,1,12.3,8,2,3.7,8,2,17.2,8,1,-0.6,8,1,13.0,0,8,1,167.9,0,8,2,0,1,8,1,0,1,8,1,2.1,8,2,9.5,8,ñkêº,8,2
2021/1,5.4,8,2,9.2,8,1,10.3,8,2,1.3,8,2,18.7,8,1,-2.4,8,1,43.5,0,8,1,172.4,0,8,2,0,1,8,1,0,1,8,1,2.3,8,2,10.7,8,ìÏêº,8,2
2021/2,8.5,8,2,14.1,8,1,14.0,8,2,3.3,8,2,21.9,8,1,-0.5,8,1,88.5,0,8,1,214.9,0,8,2,0,1,8,1,0,1,8,1,2.9,8,2,8.6,8,ìÏìÏêº,8,2
2021/3,12.8,8,2,15.0,8,1,17.9,8,2,8.3,8,2,23.4,8,1,2.3,8,1,173.0,0,8,1,193.2,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,11.0,8,ñkêº,8,2
2021/4,15.1,8,2,19.3,8,1,20.6,8,2,10.3,8,2,26.2,8,1,6.0,8,1,156.0,0,8,1,218.5,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,9.0,8,ìÏ,8,2
2021/5,19.6,8,2,15.7,8,1,24.1,8,2,15.7,8,2,28.9,8,1,10.9,8,1,99.5,0,8,1,150.5,0,8,2,0,1,8,1,0,1,8,1,3.2,8,2,9.3,8,ìÏ,8,2
2021/6,22.7,8,2,16.2,8,1,27.3,8,2,19.4,8,2,31.4,8,1,15.1,8,1,168.5,0,8,1,131.6,0,8,2,0,1,8,1,0,1,8,1,2.7,8,2,10.1,8,ìÏ,8,2
2021/7,25.9,8,2,16.3,8,1,30.3,8,2,22.9,8,2,34.7,8,1,19.3,8,1,310.0,0,8,1,160.2,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,9.0,8,ñkêº,8,2
2021/8,27.4,8,2,15.9,8,1,31.6,8,2,24.3,8,2,36.8,8,1,18.4,8,1,382.5,0,8,1,175.6,0,8,2,0,1,8,1,0,1,8,1,3.1,8,2,12.4,8,ìÏ,8,2
2021/9,22.3,8,2,10.6,8,1,26.2,8,2,19.3,8,2,31.7,8,1,16.8,8,1,222.5,0,8,1,100.7,0,8,2,0,1,8,1,0,1,8,1,2.4,8,2,7.3,8,ìÏìÏìå,8,2
2021/10,18.2,8,2,11.1,8,1,22.7,8,2,14.7,8,2,30.1,8,1,7.9,8,1,199.5,0,8,1,163.0,0,8,2,0,1,8,1,0,1,8,1,2.5,8,2,7.3,8,ñkêº,8,2
